"Project Type: Reset 06/18/2018 Buyer: Denise Brooks x1663 Analyst: Tim Esch x1596
Location(s):
Notes:",,,,,,,,,,"10/30/2018
Vitamin Department
28589 Aloe Vera-Energy-04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 4",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 1' 0.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 1' 0.50"",   Depth: 1' 5.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0001579409121,,,1,,COUNTRY LIFE,,,,,ACTIVE ALOE LIQUID-REAL FOOD-ORGANIC,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.56,,,,
2,0001579409123,,,1,,COUNTRY LIFE,,,,,LIQUID ALOE VERA-100% INNER FILLET,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.56,,,,
3,0003938101000,,,1,,REQUEST,,,,,ALOE VERA JUICE,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.25,,,,
4,0003938101100,,,1,,REQUEST,,,,,ALOE VERA JUICE-ORG,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,7.12,,,,
5,0078928710032,,,1,,GEORGES,,,,,ALOE VERA-100%,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.45,,,,
6,0078928710064,,,1,,GEORGES,,,,,ALOE VERA JUICE-ORG,,,,64.00,,,FOZ,,,,Jul 10 2016 1,,,4.75,,,,
7,0078928710098,,,1,,GEORGES,,,,,ALOE VERA JUICE,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,6.15,,,,
8,0002639584128,,,1,,LILY OF THE DESERT,,,,,ALOE VERA JUICE PRESERVATIVE FR,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,8.25,,,,
9,0002639520128,,,1,,LILY OF THE DESERT,,,,,ALOE VERA GEL WHOLE LEAF,,,,128.00,,,OZ,,,,Jul 10 2016 1,,,6.00,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 5.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002639500884,,,1,,LILY OF THE DESERT,,,,,STOMACH FORMULA SHOTS,,,,2.00,,,FOZ,,,,,,,1.35,,,,
2,0002639510884,,,1,,LILY OF THE DESERT,,,,,STOMACH FORMULA SHOTS-CS,,,,24.00,,,FOZ,,,,,,,5.75,,,,
3,0002639540032,,,1,,LILY OF THE DESERT,,,,,ALOE HERBAL STOMACH FORMULA,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.75,,,,
4,0002639540132,,,1,,LILY OF THE DESERT,,,,,ALOE HERBAL DETOX FORMULA,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.75,,,,
5,0003367414280,,,1,,NATURE'S WAY,,,,,ALOE VERA WHOLE LEAF JUICE,,,,33.80,,,FOZ,,,,Jul 10 2016 1,,,3.56,,,,
6,0003367414281,,,1,,NATURE'S WAY,,,,,ALOE VERA GEL AND JUICE,,,,33.80,,,FOZ,,,,Jul 10 2016 1,,,3.56,,,,
7,0003367414282,,,1,,NATURE'S WAY,,,,,ALOE VERA GEL AND JUICE,,,,33.80,,,FOZ,,,,Jul 10 2016 1,,,3.56,,,,
8,0079022310075,,,1,,DYNAMIC HEALTH,,,,,ALOE VERA JUICE-ORGANIC-UNFLAVORED,,,,32.00,,,FOZ,,,,,,,3.54,,,,
9,0079592236384,,,1,,ALOE LIFE,,,,,ALOE GOLD,,,,90.00,,,TAB,,,,Jul 10 2016 1,,,2.40,,,,
10,0079592236367,,,1,,ALOE LIFE,,,,,ALOE GOLD,,,,16.00,,,FOZ,,,,Jul 10 2016 1,,,2.45,,,,
11,0079592236362,,,1,,ALOE LIFE,,,,,ALOE GOLD,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.31,,,,
12,0079592236375,,,1,,ALOE LIFE,,,,,JUICE-ALO VERA-CHERRY BERRY,,,,16.00,,,FOZ,,,,Jul 10 2016 1,,,2.45,,,,
13,0079592236361,,,1,,ALOE LIFE,,,,,ALOE VERA JUICE-CHERRY BERRY,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.31,,,,
