"Project Type:
Buyer: Kate Gibson x317 Analyst: Tim Esch x596",,,,,,,,,"9/18/2018
Vitamins Department
30712 Bulletproof Display-Released Vitamin, Grocery, Bulk Dept",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"helf 6:  Height 0' 4.10"", Length 1' 3.50"",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"helf 5:  Height 0' 8.50"", Length 1' 3.50"",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"helf 4:  Height 0' 7.50"", Length 1' 3.50"",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"helf 2:  Height 0' 6.50"", Length 1' 3.50"",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"0081570902313
BULLETPROOF ROTEIN-COLLAGE
17.60 OZ",,,,,,,,,,,,,,,,,,,,,
"helf 1:  Height 0' 6.50"", Length 1' 3.50"",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"S
S
S
S",,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,,,
"Location(s):
Notes:",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vitamins Department 30712 Bulletproof Display,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,First,,Product,,
Positio,,,UPC,,Facings,,,Brand,,,Long Description,,,Size,,UOM,Date,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,
