"Project Type: STS 05/14/2018 Buyer: Abby Mullen x2324 Analyst: Tim Esch x1596
Location(s):
Notes:",,,,,,,,,,,,,"11/9/2018
Vitamin Department
29705 Children's Health-04' L-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 5.00",,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,,Long Description,,,,,Size,,,UOM,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 5.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060827410700,,,,1,,,CHILDLIFE,,,,,,LIQUID CALCIUM WITH MAGNESIUM-ORANGE,,,,,16.00,,,FOZ,,,Mar 13 2016 1,,,,3.05,,,,,
2,0061309868356,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS CALCIUM WITH VITAMIN D,,,,,90.00,,,CNT,,,Mar 13 2016 1,,,,3.31,,,,,
3,0009746729996,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-CALCIUM,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.65,,,,,
4,0009746729942,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-MAGNESIUM,,,,,90.00,,,TAB,,,,,,,2.65,,,,,
5,0085453200297,,,,2,,,VITAMIN FRIENDS,,,,,,VEGETARIAN GUMMIES - IRON,,,,,60.00,,,CNT,,,Mar 13 2016 1,,,,2.75,,,,,
6,0085321800074,,,,1,,,ULTIMA HEALTH PRODUCTS,,,,,,DRNK-KIDS- ELECTROLYTE MIX-BRRY-PKT,,,,,0.09,,,OZ,,,Jul  3 2016 1,,,,0.75,,,,,
7,0085321800072,,,,1,,,ULTIMA HEALTH PRODUCTS,,,,,,DRNK-KIDS- ELECTROLYTE MIX-BRY PUNCH,,,,,1.30,,,OZ,,,Jul  3 2016 1,,,,3.19,,,,,
8,0085321800071,,,,1,,,ULTIMA HEALTH PRODUCTS,,,,,,DRNK-KIDS- ELECTROLYTE MIX-BRY PUNCH,,,,,2.50,,,OZ,,,Jun 26 2016 1,,,,2.92,,,,,
9,0082983500033,,,,1,,,AMAZING GRASS,,,,,,KIDZ SUPER FOOD-WILD BERRY,,,,,6.35,,,OZ,,,Mar 13 2016 1,,,,3.71,,,,,
10,0082983554373,,,,1,,,AMAZING GRASS,,,,,,KIDZ SUPER FOOD-CHOCOLATE,,,,,6.50,,,OZ,,,,,,,3.71,,,,,
11,0085243400138,,,,1,,,MACRO LIFE NATURALS,,,,,,MACRO GREENS-BERRI-KIDS,,,,,7.10,,,OZ,,,,,,,2.78,,,,,
12,0085243400142,,,,1,,,MACRO LIFE NATURALS,,,,,,MACRO GREENS-COCO-KIDS,,,,,7.10,,,OZ,,,,,,,2.78,,,,,
13,0009746729968,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE KID GREENZ,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.55,,,,,
14,0061309868349,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS WHOLE FOOD ANTIOXIDANTS,,,,,90.00,,,CNT,,,Mar 13 2016 1,,,,3.30,,,,,
15,0061309868004,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS WHOLE FOOD SUPPLEME,,,,,200.00,,,CNT,,,Mar 13 2016 1,,,,3.18,,,,,
16,0001605545676,,,,1,,,BURIED TREASURE,,,,,,ADDED ATTENTION,,,,,16.00,,,FOZ,,,Mar 13 2016 1,,,,2.78,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 5.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007663590120,,,,1,,,SUPERIOR SOURCE,,,,,,CHILDRENS ECHINACEA & ZINC LOZENJETS,,,,,60.00,,,TAB,,,Mar 13 2016 1,,,,1.58,,,,,
2,0009090000070,,,,1,,,HERB PHARM,,,,,,KIDS ECHINACEA ALCOHOL FREE,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
3,0009070000308,,,,1,,,HERB PHARM,,,,,,KIDS IMMUNE AVENGER,,,,,1.00,,,FOZ,,,Apr 17 2016 1,,,,1.29,,,,,
4,0009070003083,,,,1,,,HERB PHARM,,,,,,KIDS IMMUNE FORTIFIER,,,,,1.00,,,FOZ,,,Apr 17 2016 1,,,,1.29,,,,,
5,0064667062060,,,,1,,,SPROUTS,,,,,,KIDS ECHINACEA PLUS BERRY FLAVOR,,,,,1.00,,,FOZ,,,,,,,1.29,,,,,
6,0064667062061,,,,1,,,SPROUTS,,,,,,KIDS BIOTIC BERRY FLAVOR,,,,,1.00,,,FOZ,,,,,,,1.29,,,,,
7,0064667063136,,,,1,,,SPROUTS,,,,,,KIDS COUGH,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
8,0064667062059,,,,1,,,SPROUTS,,,,,,KIDS EAR CLEAR OIL,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
9,0065649018501,,,,1,,,WISHGARDEN,,,,,,KICK IT IMMUNE,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
10,0002107801766,,,,1,,,SOURCE NATURALS,,,,,,WELLNESS HERBAL KIDS,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.54,,,,,
