"Project Type: Reset 08/06/2018 Buyer: Danielle Minchella x1643 Analyst: Megan McDermott x2322
Location(s):
Notes:",,,,,,,,,,,,,,,"11/19/2018
HBA Department
29766 Dental Care-08' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 8",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 2.00"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 4.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 8.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 4.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,,
Positio,,,UPC,,,,Facings,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 8' 0.00"",    Height: 0' 9.50"",   Depth: 1' 8.00"",   Product: 7' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0000037000005,,,,1,,,ECO-DENT,,,,,,MOUTH RINSE-ULTMT DAILY-CLEAN MINT,,,,8.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.60,,,,,
2,,0008300001643,,,,1,,,NATURE'S ANSWER,,,,,,PERIOWASH-COOL MINT,,,,16.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.60,,,,,
3,,0008300001656,,,,1,,,NATURE'S ANSWER,,,,,,PERIOWASH-WINTER MINT,,,,16.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.60,,,,,
4,,0008300001657,,,,1,,,NATURE'S ANSWER,,,,,,PERIOWASH-CINNAMON,,,,16.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.60,,,,,
