"Project Type:  09/10/2018 Buyer: Brandi Tanner x310 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,,,"9/26/2018
HBA Department
33604 Facial Care-08' L-Released",,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 7:  Height 1' 0.00"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 6:  Height 0' 7.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 5:  Height 0' 7.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,
,,,,,,,,,,,,,,,,"Shelf 9:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Shelf 8:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 2:  Height 0' 6.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shelf 1:  Height 0' 8.50"", Length 8' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,,,
Positio,,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 8' 0.00"",    Height: 0' 8.50"",   Depth: 1' 8.00"",   Product: 7' 11.81""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0071623718279,,,,1,,GIOVANNI,,,,,FACIAL CLEANSER-DTOX,,,,,7.00,,,OZ,,,,,Jun  5 2016 1,,,,3.05,,,,,,,
2,,0071623718280,,,,1,,GIOVANNI,,,,,FACIAL SCRUB-DTOX,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,3.00,,,,,,,
3,,0071623718282,,,,1,,GIOVANNI,,,,,FACIAL MOISTURIZER-DTOX,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,3.00,,,,,,,
4,,0071623718281,,,,1,,GIOVANNI,,,,,FACIAL MASK-DTOX,,,,,4.00,,,OZ,,,,,,,,,3.00,,,,,,,
5,,0071623718350,,,,1,,GIOVANNI,,,,,FACIAL CLEANSING TOWELETTES-DTOX,,,,,30.00,,,CNT,,,,,Jun  5 2016 1,,,,3.35,,,,,,,
6,,0071833422111,,,,1,,DESERT ESSENCE,,,,,THOUROUGHLY CLEAN FACE WASH-ORIGINAL,,,,,32.00,,,FOZ,,,,,Jun  5 2016 1,,,,3.75,,,,,,,
7,,0071833422016,,,,1,,DESERT ESSENCE,,,,,THOROUGHLY CLEAN FACE WASH-ORIGINAL,,,,,8.50,,,OZ,,,,,Jun  5 2016 1,,,,2.20,,,,,,,
8,,0071833422040,,,,1,,DESERT ESSENCE,,,,,CLEANSING PADS-ANTI BACTERIAL,,,,,50.00,,,CNT,,,,,Jun  5 2016 1,,,,2.87,,,,,,,
9,,0071833422069,,,,1,,DESERT ESSENCE,,,,,BLEMISH STICK-ANTI BACTIERIAL,,,,,0.31,,,OZ,,,,,Jun  5 2016 1,,,,1.05,,,,,,,
10,,0071833430093,,,,1,,DESERT ESSENCE,,,,,THOROUGHLY CLEAN FACE WASH-ORIGINAL,,,,,8.50,,,OZ,,,,,Jun  5 2016 1,,,,2.20,,,,,,,
11,,0071833422093,,,,1,,DESERT ESSENCE,,,,,MOISTURIZING CREME-JOJOBA,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.90,,,,,,,
12,,0071833432222,,,,1,,DESERT ESSENCE,,,,,CREAMY OIL CLEANSER,,,,,6.60,,,FOZ,,,,,Jun  5 2016 1,,,,1.95,,,,,,,
13,,0071833432233,,,,1,,DESERT ESSENCE,,,,,REVITALIZING OIL MOISTURIZER,,,,,2.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.60,,,,,,,
14,,0071833432223,,,,1,,DESERT ESSENCE,,,,,RESTORATIVE FACE OIL,,,,,0.96,,,FOZ,,,,,Jun  5 2016 1,,,,1.40,,,,,,,
15,,0071833432234,,,,1,,DESERT ESSENCE,,,,,BALANCING FACE OIL,,,,,0.96,,,FOZ,,,,,Jun 12 2016 1,,,,1.40,,,,,,,
16,,0066738310901,,,,1,,NOURISH ORGANIC,,,,,MOISTURIZING CREAM FACE CLEANSER,,,,,6.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.95,,,,,,,
17,,0066738310909,,,,1,,NOURISH ORGANIC,,,,,FACE TONER-ORG-ROSEWATER,,,,,3.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.15,,,,,,,
18,,0066738310904,,,,1,,NOURISH ORGANIC,,,,,LIGHTWEIGHT MOISTURIZING FACE LOTION,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,2.55,,,,,,,
19,,0066738310903,,,,1,,NOURISH ORGANIC,,,,,ULTRA-HYDRATING FACE CREAM,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,2.55,,,,,,,
20,,0066738310902,,,,1,,NOURISH ORGANIC,,,,,PURE HYDRATING ARGAN FACE SERUM,,,,,0.70,,,OZ,,,,,Jun  5 2016 1,,,,2.45,,,,,,,
21,,0066738310908,,,,1,,NOURISH ORGANIC,,,,,EYE TREATMENT-RENEWING + COOLING-ORG,,,,,0.50,,,FOZ,,,,,Jun  5 2016 1,,,,2.05,,,,,,,
22,,0066738310701,,,,1,,NOURISH ORGANIC,,,,,REPLENISHING ARGAN OIL,,,,,3.40,,,OZ,,,,,Jun  5 2016 1,,,,2.55,,,,,,,
23,,0005498600059,,,,1,,EARTH SCIENCE,,,,,FACIAL WASH-CLARIFYING,,,,,8.00,,,OZ,,,,,Jun  5 2016 1,,,,1.85,,,,,,,
24,,0005498600049,,,,1,,EARTH SCIENCE,,,,,CLEANSER-CREAMY-ADE,,,,,8.00,,,OZ,,,,,Jun  5 2016 1,,,,1.85,,,,,,,
25,,0005498600069,,,,1,,EARTH SCIENCE,,,,,TONER-COMPLEXION-ALOE,,,,,8.00,,,OZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
26,,0005498600037,,,,1,,EARTH SCIENCE,,,,,MOISTURIZER-OIL FREE,,,,,2.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.65,,,,,,,
27,,0005498600036,,,,1,,EARTH SCIENCE,,,,,MOISTURIZER-SPF 15-ALMOND ALOE,,,,,5.00,,,OZ,,,,,Jun  5 2016 1,,,,2.07,,,,,,,
28,,0005498600082,,,,1,,EARTH SCIENCE,,,,,MAKE UP REMOVER-EYE-GENTLE,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.07,,,,,,,
29,,0005498600035,,,,1,,EARTH SCIENCE,,,,,MOISTURIZER-ALMOND ALOE-UNSCENTED,,,,,5.00,,,OZ,,,,,Jun  5 2016 1,,,,2.07,,,,,,,
30,,0005498600014,,,,1,,EARTH SCIENCE,,,,,SCRUB-FACIAL-APRICOT,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.90,,,,,,,
31,,0018713200760,,,,1,,EVERYDAY COCONUT,,,,,CLEANSING FACE WASH,,,,,12.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.67,,,,,,,
32,,0018713200761,,,,1,,EVERYDAY COCONUT,,,,,COCONUT WATER FACE TONER,,,,,12.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.67,,,,,,,
33,,0018713200763,,,,1,,EVERYDAY COCONUT,,,,,NIGHT FACE CREAM,,,,,12.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.67,,,,,,,
34,,0018713200762,,,,1,,EVERYDAY COCONUT,,,,,DAILY FACE LOTION SPF 15,,,,,12.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.67,,,,,,,
35,,0084132010764,,,,1,,EVERYDAY COCONUT,,,,,EYE CREAM-NIGHTTIME REPLENISHING,,,,,3.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
Positio,,,,,UPC,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,
