"Project Type: Reset 01/22/2018 Buyer: Multiple
Analyst: Denny Robison x450",,,,,,,,,,,"9/26/2018
Vitamin Department
25085 FEMCooler_TopS Vit 2Dr-Released
81
81
81",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007248899254
GUMMIES-BEARS-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLAVORS-BOWL
16.00 OZ",,,,,,,,,,,,,,,,"0007248899254
GUMMIES-BEARS-12 FLAVORS-BOWL
16.00 OZ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Zorbitz Rack 11"" W X 17"" D",,,,,,,,,,,,,,
,,,,,,,,Quarterly ,,,,,,,,  ,,,,,,,,,,,,,
,,,,,,,,Promo Items,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andalou Rack 5.03x6.57x6.53,,,,,,,  ,,,,,,,,"008100810081 008100
006800680081 008100",,,,,,,,,,,,,
,,,,,,,,"14"" W X 10"" D ",,,,,,,,008100810081 008100,,,,,,,,,,,,,
Location(s): Notes:,,,,,,,"Shelf 2:  Height 3' 8.00"", Length 3' 8.00"", Depth 6' 0.00""",,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vitamin Department
25085 FEMCooler_TopS Vit 2Dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,First,,Product,,
Positio,,,UPC,,,Facings,,,,Brand,,,Long Description,,,,,Size,,,,,UOM,,Date,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 3' 8.00"",    Height: 3' 8.00"",   Depth: 6' 0.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0085997502046,,,1,,,,ANDALOU NATURALS,,,INSTANT SOOTHING FACE MASK,,,,,0.28,,,,,OZ,,Jun  5 2016 1,,3.29,,,
2,,0085997502027,,,1,,,,ANDALOU NATURALS,,,AGE DEFYING MICELLAR FACIAL WIPES,,,,,12.00,,,,,CNT,,,,3.29,,,
3,,0085997502028,,,1,,,,ANDALOU NATURALS,,,SENSITIVE MICELLAR FACIAL WIPES,,,,,12.00,,,,,CNT,,,,3.29,,,
4,,0085997502044,,,1,,,,ANDALOU NATURALS,,,INSTANT AGE DEFYING FACE MASK,,,,,0.28,,,,,OZ,,,,3.29,,,
5,,0400163809864,,,8,,,,WELEDA,,,SKIN FOOD,,,,,1.00,,,,,OZ,,,,1.66,,,
6,,0081178502701,,,1,,,,ZORBITZ,,,BRACELET-ENERGY,,,,,1.00,,,,,EA,,,,1.00,,,
7,,0081178502071,,,1,,,,ZORBITZ,,,LUCKY CHARM-BUDDHA,,,,,1.00,,,,,EA,,,,1.00,,,
8,,0081120001811,,,1,,,,ZORBITZ,,,RECYCLE BANGLE,,,,,1.00,,,,,EA,,,,1.00,,,
9,,0081178502871,,,1,,,,ZORBITZ,,,NECKLACE-CELEBRATE,,,,,1.00,,,,,EA,,,,1.00,,,
10,,0081178502361,,,1,,,,ZORBITZ,,,BRACELET-CHAKRA-HEART,,,,,1.00,,,,,EA,,,,1.00,,,
11,,0068907651712,,,1,,,,ZORBITZ,,,BRACELET-KARMALOGY-GEMSTONES,,,,,1.00,,,,,EA,,,,1.00,,,
12,,0068907698372,,,1,,,,ZORBITZ,,,LUCK CHARM-CHINESE FENG SHUI,,,,,1.00,,,,,EA,,,,1.00,,,
13,,0081120001278,,,1,,,,ZORBITZ,,,BRACELET-GREENIES,,,,,1.00,,,,,EA,,,,1.00,,,
14,,0081120001391,,,1,,,,ZORBITZ,,,BRACELET-LUCKY HEMATITE MAGNETICS,,,,,1.00,,,,,EA,,,,1.00,,,
15,,0081120001410,,,1,,,,ZORBITZ,,,BRACELET-ART OF LUCK,,,,,1.00,,,,,EA,,,,1.00,,,
16,,0081120001452,,,1,,,,ZORBITZ,,,BRACELET-ANCIENT WAX SEAL,,,,,1.00,,,,,EA,,,,1.00,,,
17,,0081120001647,,,1,,,,ZORBITZ,,,BRACELET-STRINGLETS,,,,,1.00,,,,,EA,,,,1.00,,,
18,,0081178502271,,,1,,,,ZORBITZ,,,SPIRIT ANIMAL,,,,,1.00,,,,,EA,,,,1.00,,,
19,,0081178502453,,,1,,,,ZORBITZ,,,EARRINGS-LUCKY GEMSTONE,,,,,1.00,,,,,EA,,,,1.00,,,
20,,0081178502881,,,1,,,,ZORBITZ,,,NECKLACE-HEALING CRYSTAL,,,,,1.00,,,,,EA,,,,1.00,,,
21,,0081563202006,,,1,,,,MINERAL FUSION,,,MINI JET MASCARA,,,,,0.13,,,,,FOZ,,,,3.22,,,
22,,0081563202508,,,1,,,,MINERAL FUSION,,,NAIL POLISH REMOVER WIPES,,,,,3.00,,,,,PK,,,,3.29,,,
23,,0007248899254,,,6,,,,,,,GUMMIES-BEARS-12 FLAVORS-BOWL,,,,,16.00,,,,,OZ,,,,5.80,,,
24,,0007248899254,,,5,,,,,,,GUMMIES-BEARS-12 FLAVORS-BOWL,,,,,16.00,,,,,OZ,,,,5.80,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
PAGE 1 / 1                                                                                                                                Confidential-For Sprouts Use Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
