"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,,,,,,"10/9/2018
HBA Department 26477 First Aid-03' L-Released
0
D E
",,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 1.00"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"000
ES SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 6.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 7.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,,
Positio,,,UPC,,,,Facings,,,Brand,,,,Long Description,,,,Size,,,,UOM,,,Date,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 3' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 2' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0076366914304,,,,1,,,SORE NO MORE,,,,PAIN RELIEVING GEL-COOL THERAPY-JAR,,,,4.00,,,,OZ,,,May  1 2016 1,,,2.88,,,,,
2,,0076366914204,,,,1,,,SORE NO MORE,,,,PAIN RELIEVING GEL-WARM THERAPY-JAR,,,,4.00,,,,OZ,,,May  1 2016 1,,,2.88,,,,,
3,,0071548650211,,,,1,,,OLBAS,,,,ANALGESIC SALVE,,,,1.00,,,,OZ,,,May  1 2016 1,,,5.56,,,,,
4,,0071548650022,,,,1,,,OLBAS,,,,ANALGESIC OIL,,,,0.95,,,,FOZ,,,May  1 2016 1,,,1.63,,,,,
5,,0037140021102,,,,1,,,NATRABIO,,,,THE RUB ARNICA CREAM,,,,2.00,,,,OZ,,,May  1 2016 1,,,1.75,,,,,
6,,0037140021304,,,,1,,,NATRABIO,,,,THE ARNICA RUB,,,,4.00,,,,OZ,,,May  1 2016 1,,,2.00,,,,,
7,,0003927822010,,,,1,,,TIGERBALM,,,,ANALGESIC,,,,0.63,,,,OZ,,,May  1 2016 1,,,3.38,,,,,
8,,0003927831510,,,,1,,,TIGERBALM,,,,ULTRA SPORTS RUB,,,,0.63,,,,OZ,,,May  1 2016 1,,,3.38,,,,,
9,,0003927844020,,,,1,,,TIGERBALM,,,,MUSCLE RUB,,,,2.00,,,,OZ,,,May  1 2016 1,,,1.50,,,,,
10,,0003927832201,,,,1,,,TIGERBALM,,,,PAIN RELIEVING PATCH,,,,1.00,,,,EA,,,May  1 2016 1,,,4.85,,,,,
