Project Type: STS 09/17/2018 Buyer: Denise Brooks x1663 Analyst: Megan McDermott x2322,,,,,,,,,,,,,"11/22/2018
Vitamin Department
33035 Fish-Plant-Probiotics- 12' H-Released Option B",,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 17:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,"Shelf 26:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 16:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,"Shelf 25:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 15:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,"Shelf 24:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 14:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,"Shelf 23:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 13:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,,,,,,,,"Shelf 22:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 12:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,,,,,,,,"Shelf 21:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 11:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,"Shelf 20:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
Shelf 2:,,,,,,,,,,,,"Shelf 10:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,"Shelf 19:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 6.00""                                 Shelf 9:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""                                 Shelf 18:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Location(s):
Notes: For use when Acidophilus Cooler is to the Right of the Fish/Plant set",,,,,,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 12",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,,Long Description,,,,Size,,,,,UOM,,,,Date,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 6.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0069765869169,,,,1,,,MANITOBA HARVEST,,,,,,BITES-CRUNCHY HEMP,,,,4.00,,,,,OZ,,,,,,,5.35,,,,,,,
