"Project Type: Reset 06/11/2018 Buyer: Abby Mullen x324 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,"9/12/2018
Vitamins Department
28466 Functional Foods-Energy-04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"00816897
FOUR SIGMATI",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GOLDEN LATTE,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 5.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 5.00",,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 10.50"",   Depth: 1' 5.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085374300301,,,1,,,FIRE CIDER,,,,,ORIGINAL APPLE CIDER-HONEY,,,,8.00,,,FOZ,,,,Jun  5 2016 1,,,2.36,,,,
2,0085374300302,,,1,,,FIRE CIDER,,,,,ORIGINAL APPLE CIDER-HONEY 16 FOZ,,,,16.00,,,FOZ,,,,Jun  5 2016 1,,,2.94,,,,
3,0079022365664,,,1,,,DYNAMIC HEALTH,,,,,VINEGAR-ORG-APPLE CIDER-DETOX TONIC,,,,16.00,,,FOZ,,,,,,,2.84,,,,
4,0079022310213,,,1,,,DYNAMIC HEALTH,,,,,ORG TART CHERRY TURMRIC & GNGR TONIC,,,,16.00,,,FOZ,,,,,,,2.84,,,,
5,0079022372495,,,1,,,DYNAMIC HEALTH,,,,,TART CHERRY ULTRA 5X,,,,16.00,,,FOZ,,,,,,,2.84,,,,
6,0007628050259,,,1,,,SOLARAY,,,,,JUICE-TART CHERRY-ORGANIC,,,,16.00,,,OZ,,,,Feb 21 2016 1,,,3.00,,,,
7,0072643410122,,,1,,,BERNARD JENSEN,,,,,BLACK CHERRY CONCENTRATE,,,,16.00,,,FOZ,,,,Feb 21 2016 1,,,2.95,,,,
8,0079001120023,,,1,,,JARROW FORMULAS,,,,,POMEGREAT,,,,12.00,,,OZ,,,,Mar 20 2016 1,,,2.44,,,,
9,0079022310192,,,1,,,DYNAMIC HEALTH,,,,,MORINGA JUICE-ORG,,,,33.80,,,FOZ,,,,,,,3.55,,,,
10,0005323229033,,,1,,,LIFETIME,,,,,MANGOSTEEN ACAI NONI GOJI J,,,,32.00,,,FOZ,,,,Mar 20 2016 1,,,3.56,,,,
11,0068693612032,,,1,,,TAHITI TRADER,,,,,NONI JUICE-HIGH POTENCY,,,,32.00,,,FOZ,,,,Mar 20 2016 1,,,3.49,,,,
12,0068693630032,,,1,,,TAHITI TRADER,,,,,ISLAND STYLE NONI JUICE-ORG,,,,32.00,,,FOZ,,,,Mar 20 2016 1,,,3.49,,,,
13,0072601266002,,,2,,,SOUTH PACIFIC TRADING,,,,,PACIFIC NONI JUICE-ORG,,,,32.00,,,FOZ,,,,Mar 20 2016 1,,,3.49,,,,
14,0089243100100,,,1,,,NOCHTLI,,,,,RUBY VITALITY ANTIOXIDANT,,,,33.80,,,FOZ,,,,Mar 20 2016 1,,,3.60,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 5.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0079001117007,,,1,,,JARROW FORMULAS,,,,,GREEN TEA 500 MG,,,,100.00,,,CAP,,,,Mar 20 2016 1,,,2.40,,,,
2,0064667062054,,,2,,,SPROUTS,,,,,IODINE WITH KELP,,,,2.00,,,FOZ,,,,Mar 20 2016 1,,,1.55,,,,
3,0064667068063,,,1,,,SPROUTS,,,,,MARINE KELP IODINE,,,,250.00,,,TAB,,,,Mar 20 2016 1,,,2.25,,,,
4,0004064700230,,,1,,,NATURE'S LIFE,,,,,ICELANDIC KELP,,,,250.00,,,TAB,,,,Mar 20 2016 1,,,2.01,,,,
5,0070619500429,,,1,,,OREGON'S WILD HARVEST,,,,,KELP COG,,,,90.00,,,CAP,,,,Mar 20 2016 1,,,2.23,,,,
6,0072778390134,,,1,,,NEW CHAPTER,,,,,FERMENTED MACA BOOSTER,,,,2.20,,,OZ,,,,,,,2.90,,,,
7,0072778390133,,,1,,,NEW CHAPTER,,,,,FERMENTED TURMERIC BOOSTER,,,,2.20,,,OZ,,,,,,,2.90,,,,
8,0074365000180,,,1,,,EMERALD LABORATORIES,,,,,FREEZE DRIED ACAI BERRY,,,,60.00,,,VCP,,,,Mar 20 2016 1,,,2.20,,,,
9,0074365000150,,,1,,,EMERALD LABORATORIES,,,,,GOJI BERRY,,,,60.00,,,VCP,,,,Mar 20 2016 1,,,2.20,,,,
10,0074365000147,,,1,,,EMERALD LABORATORIES,,,,,POMEGRANATE,,,,60.00,,,VCP,,,,Mar 20 2016 1,,,2.20,,,,
11,0074365000143,,,1,,,EMERALD LABORATORIES,,,,,MANGOSTEEN,,,,60.00,,,VCP,,,,Mar 20 2016 1,,,2.20,,,,
12,0075395000096,,,1,,,DOCTORS BEST,,,,,BEST NONI CONCENTRATE-650 MG,,,,120.00,,,VCP,,,,Mar 20 2016 1,,,2.60,,,,
13,0064667068010,,,1,,,SPROUTS,,,,,BEE POLLEN,,,,100.00,,,VTB,,,,Mar 20 2016 1,,,2.00,,,,
14,0006895803161,,,1,,,NATURAL FACTORS,,,,,BEE PROPOLIS 500 MG,,,,90.00,,,CAP,,,,Mar 20 2016 1,,,2.19,,,,
15,0007628008210,,,1,,,SOLARAY,,,,,PROPOLIS PLUS-200 MG,,,,90.00,,,CAP,,,,Mar 20 2016 1,,,2.50,,,,
16,0073111186609,,,1,,,PREMIER,,,,,BEE PROPOLIS,,,,60.00,,,CAP,,,,Mar 20 2016 1,,,1.95,,,,
17,0073111125609,,,1,,,PREMIER,,,,,ROYAL JELLY-500 MG,,,,60.00,,,SG,,,,Mar 20 2016 1,,,1.95,,,,
Positio,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0073111122309,,,1,,,PREMIER,,,,,ROYAL JELLY 2000,,,,30.00,,,CAP,,,,Mar 20 2016 1,,,1.95,,,,
19,0073111113099,,,1,,,PREMIER,,,,,ROYAL JELLY IN HONEY,,,,11.00,,,OZ,,,,Mar 20 2016 1,,,2.85,,,,
20,0073111166109,,,1,,,PREMIER,,,,,POLLEN POWER GRANULES,,,,4.75,,,OZ,,,,Mar 20 2016 1,,,2.25,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 5.00"",   Product: 3' 11.86""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667062138,,,1,,,SPROUTS,,,,,MORINGA,,,,1.00,,,FOZ,,,,Mar 20 2016 1,,,1.30,,,,
2,0064667062156,,,1,,,SPROUTS,,,,,MORINGA LEAF POWDER-500 MG,,,,90.00,,,VCP,,,,,,,2.25,,,,
3,0080154150817,,,1,,,ORGANIC INDIA,,,,,MORINGA,,,,90.00,,,VCP,,,,Mar 20 2016 1,,,2.26,,,,
4,0080154151270,,,1,,,ORGANIC INDIA,,,,,MORINGA LIFT PACKET,,,,0.10,,,OZ,,,,,,,3.30,,,,
5,0080154151271,,,1,,,ORGANIC INDIA,,,,,MORINGA LIFT BOX,,,,1.50,,,OZ,,,,,,,3.43,,,,
6,0080154150818,,,1,,,ORGANIC INDIA,,,,,MORINGA LEAF POWDER-ORGANIC,,,,8.00,,,OZ,,,,Mar 20 2016 1,,,3.49,,,,
7,0071036358315,,,1,,,IRWIN NATURALS,,,,,MIGHTY MORINGA,,,,60.00,,,SG,,,,,,,2.50,,,,
8,0008385120900,,,1,,,GREEN FOODS,,,,,MATCHA GREEN TEA-ORG,,,,5.50,,,OZ,,,,Mar 20 2016 1,,,3.72,,,,
9,0085023200593,,,1,,,VITAL PROTEINS,,,,,COLLAGEN PEPTIDES MATCHA,,,,12.00,,,OZ,,,,,,,3.71,,,,
10,0081689702077,,,1,,,FOUR SIGMATIC,,,,,GOLDEN LATTE MUSHROOM MIX-PKT,,,,0.21,,,OZ,,,,,,,3.05,,,,
11,0081689702078,,,1,,,FOUR SIGMATIC,,,,,GOLDEN LATTE MUSHROOM MIX-BOX,,,,2.12,,,OZ,,,,,,,3.20,,,,
12,0075106314927,,,1,,,GAIA HERBS,,,,,GOLDEN MILK-ORGANIC,,,,3.70,,,OZ,,,,Aug 28 2016 1,,,3.40,,,,
13,0079001114091,,,1,,,JARROW FORMULAS,,,,,GOLDEN MILK,,,,9.50,,,OZ,,,,Aug 14 2016 1,,,3.75,,,,
