"Project Type: Cut-In 11/01/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,,"10/16/2018
HBA Department
34324 Liquid Soap-04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 5",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 6.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085688520198,,,1,,SOUTH OF FRANCE,,,,,HAND WASH-FOAMING-BLOOMING JASMINE,,,,8.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
2,0085688520193,,,1,,SOUTH OF FRANCE,,,,,HAND WASH-FOAMING-ALMOND GOURMANDE,,,,8.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
3,0085688520185,,,1,,SOUTH OF FRANCE,,,,,FOAMING-HAND WASH-LEMON VERBENA,,,,8.00,,,FOZ,,,,,,,2.65,,,,
4,0085688520183,,,1,,SOUTH OF FRANCE,,,,,FOAMING-HAND WASH-ORANGE BLOSSOM HNY,,,,8.00,,,FOZ,,,,,,,2.65,,,,
5,0085688520083,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-ORANGE BLOSSOM HNY,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
6,0085688520085,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-LEMON VERBENA,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
7,0085688520086,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-CLMIBING WILD ROSE,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
8,0085688520088,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-COTE D'AZUR,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
9,0085688520081,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-LAVENDER FIELDS,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
10,0085688520080,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-SHEA BUTTER,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
11,0085688520082,,,1,,SOUTH OF FRANCE,,,,,SOAP HAND WASH-GREEN TEA,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,2.50,,,,
12,0007834775014,,,1,,NATURE'S GATE,,,,,LIQUID SOAP-HB-LAVENDER ALOE,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.80,,,,
13,0007834775016,,,1,,NATURE'S GATE,,,,,LIQUID SOAP-HB-LEMONGRASS CLARY SAGE,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.80,,,,
14,0007834775378,,,1,,NATURE'S GATE,,,,,SOAP-LIQUID-ALOE VERA,,,,12.50,,,FOZ,,,,Jul 17 2016 1,,,2.80,,,,
15,0008705277774,,,1,,CLEARLY NATURAL,,,,,ALOE VERA GLYCERINE LIQUID HAND SOAP,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.85,,,,
16,0008705277772,,,1,,CLEARLY NATURAL,,,,,UNSCENTED GLYCERINE LIQUID HAND SOAP,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.85,,,,
17,0063779260360,,,1,,TEA TREE THERAPY,,,,,SOAP-LIQUID-TEA TREE OIL,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,3.55,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081005802014,,,1,,EARTHY,,,,,HAND SOAP-UNSCENTED,,,,17.00,,,FOZ,,,,Jul 17 2016 1,,,3.35,,,,
2,0081005802011,,,1,,EARTHY,,,,,HAND SOAP-GRAPEFRUIT POMEGRANATE,,,,17.00,,,FOZ,,,,Jul 17 2016 1,,,3.35,,,,
3,0081005802010,,,1,,EARTHY,,,,,HAND SOAP-ROSEMARY MINT,,,,17.00,,,FOZ,,,,Jul 17 2016 1,,,3.35,,,,
4,0081005802012,,,1,,EARTHY,,,,,HAND SOAP-ORANGE BLOSSOM,,,,17.00,,,FOZ,,,,Jul 17 2016 1,,,3.35,,,,
5,0007852202005,,,1,,JASON,,,,,SOAP-SATIN-ALOE VERA,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,3.10,,,,
6,0007852203017,,,1,,JASON,,,,,SOAP-SATIN-TEA TREE,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,3.10,,,,
7,0007852202025,,,1,,JASON,,,,,SOAP-SATIN-LAVENDER,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,3.10,,,,
8,0007852202023,,,1,,JASON,,,,,SOAP-SATIN-GLYCERINE ROSEWATER,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,3.10,,,,
9,0018713200558,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-VANILLA MINT-FOAMING SHEA,,,,18.00,,,FOZ,,,,Jul 17 2016 1,,,3.15,,,,
10,0018713200557,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-LAVENDER-FOAMING SHEA,,,,18.00,,,FOZ,,,,Jul 17 2016 1,,,3.15,,,,
11,0084132010599,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-LAVENDER SPICE,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
12,0084132010595,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-HONEYSUCKLE,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
13,0084132010597,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-VANILLA PASSION,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
14,0084132010596,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-MADARIN MANGO,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0084132010594,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-LEMON VERBENA,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
16,0084132010598,,,1,,EVERY DAY SHEA,,,,,HAND SOAP-PEPPERMINT TINGLE,,,,12.00,,,FOZ,,,,Jul 17 2016 1,,,2.65,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
