"Project Type: STS 12/17/2018 Buyer: Abby Mullen x2324 Analyst: Tim Esch x1596
Location(s):
Notes:",,,,,,,,,,,,,,,"12/7/2018
Vitamin Department
36346 Multivitamins 08' H-CA-Released
",,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 16:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 15:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 14:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 13:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 12:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 11:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,"Shelf 10:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 6.00",,,,,,,,,,"""",,,,"Shelf 9:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,Long Description,,,,,,,Size,,,UOM,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 10.50"",   Depth: 1' 6.00"",   Product: 3' 11.89""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0087553400150,,,,2,,,NATURAL VITALITY,,,,KIDS CALM MULTI VITAMIN-ORANGE SPLSH,,,,,,,30.00,,,FOZ,,,,Mar 13 2016 1,,,,3.60,,,,,
2,0009746729951,,,,1,,,NATURE'S PLUS,,,,ANIMAL PARADE LIQUID TROPICAL BERRY,,,,,,,30.00,,,FOZ,,,,Mar 13 2016 1,,,,3.28,,,,,
3,0087894100126,,,,1,,,TRACE MINERALS,,,,LIQUID MULTI VITAMIN-MINERAL BERRY,,,,,,,30.00,,,FOZ,,,,Jun 12 2016 1,,,,3.63,,,,,
4,0085574800002,,,,2,,,VITAL EARTH MINERALS,,,,SUPER MULTI LIQUID,,,,,,,32.00,,,FOZ,,,,Jun 12 2016 1,,,,3.56,,,,,
5,0065801011596,,,,2,,,GARDEN OF LIFE,,,,VITAMIN CODE LIQUID-MULTI-FRUIT PNCH,,,,,,,30.00,,,FOZ,,,,Jun 12 2016 1,,,,3.55,,,,,
6,0003367415395,,,,2,,,NATURE'S WAY,,,,ALIVE LIQUID,,,,,,,30.00,,,FOZ,,,,Jun 12 2016 1,,,,3.56,,,,,
7,0001579408001,,,,2,,,COUNTRY LIFE,,,,FOOD BASE LIQUID MULTI,,,,,,,32.00,,,FOZ,,,,Jun 12 2016 1,,,,3.58,,,,,
8,0071812264629,,,,2,,,SUNWARRIOR,,,,LIQUID VITAMIN MINERAL RUSH,,,,,,,8.00,,,FOZ,,,,Jun 12 2016 1,,,,1.94,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081705302087,,,,1,,,SMARTY PANTS,,,,ORGANIC TODDLER COMPLETE,,,,,,,60.00,,,CNT,,,,,,,,2.30,,,,,
2,0081705302079,,,,1,,,SMARTY PANTS,,,,ORGANIC KID'S COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.03,,,,,
3,0085135600401,,,,1,,,SMARTY PANTS,,,,KIDS COMPLETE GUMMY MULTIVITAMIN,,,,,,,120.00,,,CNT,,,,Mar 13 2016 1,,,,3.07,,,,,
4,0085135600407,,,,1,,,SMARTY PANTS,,,,KIDS FIBER COMPLETE GUMMIES,,,,,,,120.00,,,CNT,,,,Mar 13 2016 1,,,,3.07,,,,,
5,0081705302065,,,,1,,,SMARTY PANTS,,,,MULTIVITAMINS-TEEN GIRL COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.07,,,,,
6,0081705302067,,,,1,,,SMARTY PANTS,,,,MULTIVITAMINS-TEEN GUY COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.07,,,,,
7,0065801012027,,,,1,,,GARDEN OF LIFE,,,,MULTIVITAMIN-ORG-KIDS-FRUIT,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
8,0065801012075,,,,1,,,GARDEN OF LIFE,,,,MULTIVITAMIN-ORG-KIDS-CHERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
9,0003367415789,,,,1,,,NATURE'S WAY,,,,ALIVE-GUMMIES-CHILDRENS MULTIVITAMIN,,,,,,,90.00,,,CNT,,,,Jun 12 2016 1,,,,2.87,,,,,
10,0003367415786,,,,1,,,NATURE'S WAY,,,,ALIVE-CHILDRENS CHEWABLE MULITVITAMN,,,,,,,120.00,,,CHW,,,,Mar 13 2016 1,,,,2.85,,,,,
11,0065801011439,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE KIDS,,,,,,,30.00,,,CHW,,,,Mar 13 2016 1,,,,2.20,,,,,
12,0065801011440,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE KIDS,,,,,,,60.00,,,CHW,,,,Mar 13 2016 1,,,,2.70,,,,,
13,0002188878081,,,,1,,,RAINBOW LIGHT,,,,TEEN GIRLS MULTIVITAMIN SKIN SUPPORT,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
14,0002188878101,,,,1,,,RAINBOW LIGHT,,,,MULTI-HEALTHY BRAIN SUPPORT-TEEN GRL,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
15,0002188878071,,,,1,,,RAINBOW LIGHT,,,,YOUNG MENS MULTIVITAMIN SKIN SUPPORT,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
16,0002188878111,,,,1,,,RAINBOW LIGHT,,,,MULTI-HEALTHY BRAIN SUPPORT-TEEN BOY,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
17,0002188811202,,,,1,,,RAINBOW LIGHT,,,,ACTIVE HEALTH TEEN FOOD BASED MULTI,,,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.44,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
