Project Type: STS 12/10/2018 Buyer: Kate Gibson x2317 Analyst: Tim Esch x1596,,,,,,,,,,,,,"11/30/2018
Vitamin Department
33532 Protein Powders-12' H-Released Option B",,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 14:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 21:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Shelf 6:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 13:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 20:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Shelf 5:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,"Shelf 12:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,"Shelf 19:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 11:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 18:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 10:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 17:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 9:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 16:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Shelf 1:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,"Shelf 8:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,"Shelf 15:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 4.00""",,,,,,,,,,,,,
"Location(s):
Notes: Option B-Use when Sports Nutrition is to the right of Protein Powders",,,,,,,,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 9",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
